,Strategy,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown
Strategy,ModifOverlap120,-0.009265559285148717,0.19434065414799892,-0.047676896662561336,-0.8212350274752922
ftsemib,Long Only ftsemib,-0.037287070440707226,0.23362014966899466,-0.15960554127517473,-0.8508376766266862
ssec,Long Only ssec,0.0030565324300269037,0.23600848866547228,0.01295094277036515,-0.7580346938630147
50/50 Portfolio,50/50 Portfolio,-0.004896195233881517,0.17377212908034873,-0.028175952379668523,-0.7273480438407185
