,Strategy,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown
Strategy,ModifOverlap120,-0.008223803556669962,0.19420515194404456,-0.04234595979739739,-0.6942819710576164
ftse100,Long Only ftse100,0.0013292815152787796,0.18172613059560086,0.007314751659115325,-0.5855036709435261
ftsemib,Long Only ftsemib,-0.030150190658015497,0.2345936079811204,-0.1285209384751946,-0.8508467239829993
50/50 Portfolio,50/50 Portfolio,-0.011903140328663686,0.19682927155737912,-0.06047444180676001,-0.6981241085021345
