,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown
Strategy,0.047305562766749354,0.18609067113322147,0.25420706195897114,-0.6277167974057796
s&p500,0.04043927056797236,0.19474580629659818,0.20765156044686933,-0.6433313352381402
ssec,0.0076817165610056914,0.23575477989103213,0.03258350292857793,-0.74649281274423
