,Strategy,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown
Strategy,ModifOverlap120,0.05467754694897642,0.15576588202270655,0.3510238971394639,-0.5744960280636915
ftse100,Long Only ftse100,0.025481052840257146,0.1715419454113583,0.14854123741661826,-0.5994395488607362
s&p500,Long Only s&p500,0.06989870840128076,0.18257879561508716,0.3828413270325285,-0.6310796971936473
50/50 Portfolio,50/50 Portfolio,0.051630911919164246,0.15328871246722345,0.3368213555202513,-0.5787212666219057
