,Strategy,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown
Strategy,ModifOverlap120,0.005998269457344607,0.1716085584480602,0.034953206947193546,-0.6041107825062103
ftse100,Long Only ftse100,-0.022658469880839305,0.1826749394201214,-0.12403710083477112,-0.6660104010909016
ssec,Long Only ssec,0.007029990950520926,0.23553357466567823,0.02984708638884905,-0.7308103091002648
50/50 Portfolio,50/50 Portfolio,0.0019622194049020436,0.15708622335886477,0.012491352602063245,-0.5947960956920147
