Date,ftsemib
1998-06-26 00:00:00+02:00,33096.0
1998-06-29 00:00:00+02:00,33613.0
1998-06-30 00:00:00+02:00,33354.0
1998-07-01 00:00:00+02:00,34331.0
1998-07-02 00:00:00+02:00,34611.0
1998-07-03 00:00:00+02:00,35006.0
1998-07-06 00:00:00+02:00,35626.0
1998-07-07 00:00:00+02:00,36002.0
1998-07-08 00:00:00+02:00,36451.0
1998-07-09 00:00:00+02:00,36397.0
1998-07-10 00:00:00+02:00,36368.0
1998-07-13 00:00:00+02:00,36641.0
1998-07-14 00:00:00+02:00,37293.0
1998-07-15 00:00:00+02:00,37405.0
1998-07-16 00:00:00+02:00,37486.0
1998-07-17 00:00:00+02:00,38281.0
1998-07-20 00:00:00+02:00,38767.0
1998-07-21 00:00:00+02:00,38508.0
1998-07-22 00:00:00+02:00,38069.0
1998-07-23 00:00:00+02:00,38010.0
1998-07-24 00:00:00+02:00,37632.0
1998-07-27 00:00:00+02:00,37112.0
1998-07-28 00:00:00+02:00,37122.0
1998-07-29 00:00:00+02:00,36514.0
1998-07-30 00:00:00+02:00,36966.0
1998-07-31 00:00:00+02:00,36636.0
1998-08-03 00:00:00+02:00,36185.0
1998-08-04 00:00:00+02:00,36102.0
1998-08-05 00:00:00+02:00,35387.0
1998-08-06 00:00:00+02:00,35231.0
1998-08-07 00:00:00+02:00,35678.0
1998-08-10 00:00:00+02:00,35080.0
1998-08-11 00:00:00+02:00,34101.0
1998-08-12 00:00:00+02:00,34601.0
1998-08-13 00:00:00+02:00,34597.0
1998-08-14 00:00:00+02:00,35292.0
1998-08-17 00:00:00+02:00,35670.0
1998-08-18 00:00:00+02:00,36544.0
1998-08-19 00:00:00+02:00,36107.0
1998-08-20 00:00:00+02:00,35853.0
1998-08-21 00:00:00+02:00,34379.0
1998-08-24 00:00:00+02:00,34484.0
1998-08-25 00:00:00+02:00,35441.0
1998-08-26 00:00:00+02:00,34565.0
1998-08-27 00:00:00+02:00,32984.0
1998-08-28 00:00:00+02:00,32093.0
1998-08-31 00:00:00+02:00,31534.0
1998-09-01 00:00:00+02:00,30612.0
1998-09-02 00:00:00+02:00,31405.0
1998-09-03 00:00:00+02:00,30395.0
1998-09-04 00:00:00+02:00,30207.0
1998-09-07 00:00:00+02:00,31041.0
1998-09-08 00:00:00+02:00,31834.0
1998-09-09 00:00:00+02:00,30802.0
1998-09-10 00:00:00+02:00,29128.0
1998-09-11 00:00:00+02:00,28345.0
1998-09-14 00:00:00+02:00,29748.0
1998-09-15 00:00:00+02:00,29555.0
1998-09-16 00:00:00+02:00,30138.0
1998-09-17 00:00:00+02:00,28447.0
1998-09-18 00:00:00+02:00,28381.0
1998-09-21 00:00:00+02:00,26847.0
1998-09-22 00:00:00+02:00,27950.0
1998-09-23 00:00:00+02:00,28438.0
1998-09-24 00:00:00+02:00,28101.0
1998-09-25 00:00:00+02:00,27515.0
1998-09-28 00:00:00+02:00,28906.0
1998-09-29 00:00:00+02:00,28779.0
1998-09-30 00:00:00+02:00,27879.0
1998-10-01 00:00:00+02:00,26610.0
1998-10-02 00:00:00+02:00,26517.0
1998-10-05 00:00:00+02:00,25441.0
1998-10-06 00:00:00+02:00,26749.0
1998-10-07 00:00:00+02:00,26210.0
1998-10-08 00:00:00+02:00,24987.0
1998-10-09 00:00:00+02:00,24860.0
1998-10-12 00:00:00+02:00,26661.0
1998-10-13 00:00:00+02:00,26822.0
1998-10-14 00:00:00+02:00,28120.0
1998-10-15 00:00:00+02:00,28030.0
1998-10-16 00:00:00+02:00,28904.0
1998-10-19 00:00:00+02:00,29067.0
1998-10-20 00:00:00+02:00,29904.0
1998-10-21 00:00:00+02:00,29126.0
1998-10-22 00:00:00+02:00,28823.0
1998-10-23 00:00:00+02:00,29372.0
1998-10-26 00:00:00+01:00,29819.0
1998-10-27 00:00:00+01:00,30192.0
1998-10-28 00:00:00+01:00,29189.0
1998-10-29 00:00:00+01:00,29111.0
1998-10-30 00:00:00+01:00,29670.0
1998-11-02 00:00:00+01:00,30312.0
1998-11-03 00:00:00+01:00,30165.0
1998-11-04 00:00:00+01:00,31049.0
1998-11-05 00:00:00+01:00,30617.0
1998-11-06 00:00:00+01:00,30795.0
1998-11-09 00:00:00+01:00,30302.0
1998-11-10 00:00:00+01:00,30107.0
1998-11-11 00:00:00+01:00,30575.0
1998-11-12 00:00:00+01:00,30807.0
1998-11-13 00:00:00+01:00,30826.0
1998-11-16 00:00:00+01:00,31429.0
1998-11-17 00:00:00+01:00,31234.0
1998-11-18 00:00:00+01:00,30961.0
1998-11-19 00:00:00+01:00,31590.0
1998-11-20 00:00:00+01:00,32166.0
1998-11-23 00:00:00+01:00,33062.0
1998-11-24 00:00:00+01:00,32622.0
1998-11-25 00:00:00+01:00,33047.0
1998-11-26 00:00:00+01:00,33862.0
1998-11-27 00:00:00+01:00,34108.0
1998-11-30 00:00:00+01:00,33257.0
1998-12-01 00:00:00+01:00,31876.0
1998-12-02 00:00:00+01:00,31700.0
1998-12-03 00:00:00+01:00,32276.0
1998-12-04 00:00:00+01:00,32630.0
1998-12-07 00:00:00+01:00,32691.0
1998-12-08 00:00:00+01:00,32691.0
1998-12-09 00:00:00+01:00,32588.0
1998-12-10 00:00:00+01:00,32566.0
1998-12-11 00:00:00+01:00,32078.0
1998-12-14 00:00:00+01:00,32264.0
1998-12-15 00:00:00+01:00,32498.0
1998-12-16 00:00:00+01:00,32618.0
1998-12-17 00:00:00+01:00,32779.0
1998-12-18 00:00:00+01:00,32581.0
1998-12-21 00:00:00+01:00,33891.0
1998-12-22 00:00:00+01:00,34006.0
1998-12-23 00:00:00+01:00,34482.0
1998-12-24 00:00:00+01:00,34482.0
1998-12-28 00:00:00+01:00,35460.0
1998-12-29 00:00:00+01:00,35407.0
1998-12-30 00:00:00+01:00,35426.0
1998-12-31 00:00:00+01:00,35426.0
1999-01-04 00:00:00+01:00,37703.0
1999-01-05 00:00:00+01:00,38179.0
1999-01-06 00:00:00+01:00,38179.0
1999-01-07 00:00:00+01:00,38323.0
1999-01-08 00:00:00+01:00,38130.0
1999-01-11 00:00:00+01:00,37220.0
1999-01-12 00:00:00+01:00,36341.0
1999-01-13 00:00:00+01:00,34816.0
1999-01-14 00:00:00+01:00,34826.0
1999-01-15 00:00:00+01:00,35797.0
1999-01-18 00:00:00+01:00,36610.0
1999-01-19 00:00:00+01:00,35934.0
1999-01-20 00:00:00+01:00,36249.0
1999-01-21 00:00:00+01:00,35465.0
1999-01-22 00:00:00+01:00,34621.0
1999-01-25 00:00:00+01:00,34528.0
1999-01-26 00:00:00+01:00,34811.0
1999-01-27 00:00:00+01:00,34826.0
1999-01-28 00:00:00+01:00,35490.0
1999-01-29 00:00:00+01:00,35687.0
1999-02-01 00:00:00+01:00,36234.0
1999-02-02 00:00:00+01:00,35824.0
1999-02-03 00:00:00+01:00,35368.0
1999-02-04 00:00:00+01:00,35290.0
1999-02-05 00:00:00+01:00,35224.0
1999-02-08 00:00:00+01:00,34582.0
1999-02-09 00:00:00+01:00,33450.0
1999-02-10 00:00:00+01:00,33965.0
1999-02-11 00:00:00+01:00,34604.0
1999-02-12 00:00:00+01:00,34955.0
1999-02-15 00:00:00+01:00,35336.0
1999-02-16 00:00:00+01:00,34833.0
1999-02-17 00:00:00+01:00,34719.0
1999-02-18 00:00:00+01:00,34982.0
1999-02-19 00:00:00+01:00,35658.0
1999-02-22 00:00:00+01:00,36822.0
1999-02-23 00:00:00+01:00,36658.0
1999-02-24 00:00:00+01:00,37320.0
1999-02-25 00:00:00+01:00,36339.0
1999-02-26 00:00:00+01:00,36339.0
1999-03-01 00:00:00+01:00,36141.0
1999-03-02 00:00:00+01:00,36066.0
1999-03-03 00:00:00+01:00,35485.0
1999-03-04 00:00:00+01:00,36449.0
1999-03-05 00:00:00+01:00,37615.0
1999-03-08 00:00:00+01:00,37024.0
1999-03-09 00:00:00+01:00,37627.0
1999-03-10 00:00:00+01:00,38198.0
1999-03-11 00:00:00+01:00,38298.0
1999-03-12 00:00:00+01:00,37757.0
1999-03-15 00:00:00+01:00,38242.0
1999-03-16 00:00:00+01:00,37981.0
1999-03-17 00:00:00+01:00,37905.0
1999-03-18 00:00:00+01:00,38240.0
1999-03-19 00:00:00+01:00,38489.0
1999-03-22 00:00:00+01:00,38054.0
1999-03-23 00:00:00+01:00,37408.0
1999-03-24 00:00:00+01:00,37076.0
1999-03-25 00:00:00+01:00,37683.0
1999-03-26 00:00:00+01:00,37349.0
1999-03-29 00:00:00+02:00,38054.0
1999-03-30 00:00:00+02:00,38191.0
1999-03-31 00:00:00+02:00,38601.0
1999-04-01 00:00:00+02:00,38130.0
1999-04-02 00:00:00+02:00,38130.0
1999-04-05 00:00:00+02:00,38130.0
1999-04-06 00:00:00+02:00,38535.0
1999-04-07 00:00:00+02:00,38447.0
1999-04-08 00:00:00+02:00,38594.0
1999-04-09 00:00:00+02:00,38142.0
1999-04-12 00:00:00+02:00,38328.0
1999-04-13 00:00:00+02:00,38642.0
1999-04-14 00:00:00+02:00,38398.0
